No,Datetime,User,Text
0,2020-02-17 14:24:36+00:00,BerisikRadio,#interview bareng Compadres gimana akhirnya terpilih membawakan soundtrack film #gundala | 
1,2020-02-17 12:02:00+00:00,channelmaenan,GUNDALA ARMORED SUIT (Upgrade) 1:6 statue Limited Edition. #gundala https://youtu.be/hHki9oHHu2c via @YouTube
2,2020-02-15 14:14:08+00:00,Fow_Lagih,kirain rame.. #gundala
3,2020-02-14 12:08:07+00:00,roul_am,Nice combat with martial arts #gundala
4,2020-02-14 06:51:18+00:00,bapakranger,@Bumilangit Corner @GandariaCity mall L2 Skuy mampir dan belanja (yang banyak) dong yes! #Bumilangit #Gundala #Godam #SriAsih #VirgoandTheSparklings #Patriot #JagoanIndonesia â€“ at Gandaria City
5,2020-02-13 12:26:38+00:00,SyazwanBaba,I just watch #GUNDALA I cannot wait the next movie from #Bumilangit #SriAsih OMG indonesia already have their own bumi langit universe #BLU.
6,2020-02-12 12:19:27+00:00,awaniesz,#gundala #negeriinibutuhpatriot https://www.instagram.com/p/B8d3HBeFm9q/?igshid=cb031kxmhf35
7,2020-02-12 01:06:01+00:00,MyraKiriyuu,Dear @gundalaofficial fans check out the pinned section. Thank u #Gundala #Bumilangit #GundalaOfficial
8,2020-02-11 08:05:02+00:00,zhentluvy,Work in progress 1/6 head sculpt SANCAKA #gundala #sancaka #localheroes #headsculpt #onesixtscale #abimana
9,2020-02-10 08:06:56+00:00,bumilangitcom,Mau karyamu ikut tampil di social media Bumilangit? Upload dan mention Bumilangit (bukan DM) dengan hashtag #fanartBumilangit! . #gundala #bumilangit
10,2020-02-09 08:56:35+00:00,bumilangitcom,Lengkapi penampilanmu dengan koleksi @tokosamisami x Gundala! Jadikan design kerennya melengkapi hari-hari kerenmu! Yuk dapetin sekarang di Tokosamisami! . #bumilangit #jagatbumilangit #jagoanindonesia #NegeriIniButuhPatriot #gundala 
11,2020-02-09 02:06:34+00:00,yan_widjaya,Bertemu Muhammad Khan Terpilih Aktor Pendatang Baru Piala Maya lewat #KucumbuTubuhIndahku n sekali lagi ia menyanyikan sebait lagu #MereMehbobMereSanam dari film #Duplicate. Terpilih Aktris Pendatang Baru: Maizura #Bebas Terpilih Artis Cilik: Muzakki Ramdhan #Gundala 
12,2020-02-09 01:04:55+00:00,BembyGusti,Alhamdullilah terima kasih @pialamaya #pialamaya #penatamusikterbaik #gundala #rooftopsound
12,2020-02-09 01:04:55+00:00,BembyGusti,Alhamdullilah terima kasih @pialamaya #pialamaya #penatamusikterbaik #gundala #rooftopsound
14,2020-02-09 00:18:02+00:00,Kabar_Event,Pemenang Tata Musik Terpilih adalah Aghi Narottama Bemby Gusti dan Tony Merle untuk film #Gundala #PialaMaya8 https://twitter.com/flickmagazine/status/1226137358312951808
15,2020-02-09 00:16:35+00:00,Kabar_Event,Pemenang Aktor/Aktris Cilik/Remaja Terpilih adalah Muzakki Ramdhan untuk film #Gundala #PialaMaya8 https://twitter.com/flickmagazine/status/1226140834292068356
16,2020-02-08 16:37:18+00:00,pojokjagoan,Selamat untuk Khikmawan Santosa (alm.) Mohamad Ikhsan dan Anhar Moha sebagai Tata Suara Terpilih Piala Maya 2019 dalam film GUNDALA. #Bumilangit #Gundala #Pialamaya #PIALAMAYA8
17,2020-02-08 14:07:42+00:00,jokoanwarapprl,Tahniah untuk team suara dan muzik filem #Gundala kerana terpilih sebagai pemenang di @pialamaya . Tahniah @MuzakkiRamdhan aktor cilik terpilih juga. @jokoanwar @MYbumilangit @gundalaofficial #Gundala 
18,2020-02-08 13:48:50+00:00,flickmagazine,Pemenang Aktor/Aktris Cilik/Remaja Terpilih adalah Muzakki Ramdhan untuk film #Gundala #PialaMaya8
19,2020-02-08 13:35:01+00:00,flickmagazine,Pemenang Tata Musik Terpilih adalah Aghi Narottama Bemby Gusti dan Tony Merle untuk film #Gundala #PialaMaya8
20,2020-02-08 13:23:00+00:00,flickmagazine,Pemenang Tata Suara Terpilih adalah Khikmawan Santosa Mohammad Ikhsan dan Anhar Moha untuk film #Gundala #PialaMaya8
21,2020-02-08 03:03:24+00:00,pedasbakso_,Pengen jadi anaknya Bapak juga #gundala
22,2020-02-07 18:56:56+00:00,ridwantriaji,Amoral itu apa? Konten pornografi? Jadi LGBT? Korupsi? Kalo soal korupsi baru gue peduli. Yang penting ada logika ada hati nurani. #Gundala
23,2020-02-07 17:58:54+00:00,zhentluvy,work in progress 1/6 scale sancaka from gundala movie still need more likeness #sancaka #Gundala #abimana
24,2020-02-05 19:15:22+00:00,polleverytime,Best director? #movies #Oscars #director #jokoanwar #wesanderson #tarantino #christopernolan #gundala #Django #moonrisekingdom #TENET #OnceUponATimeInHollywood #poll #polls #pollofpolls #TwitterPoll #moviespoll
